"eventversion","useridentity","eventtime","eventsource","eventname","awsregion","sourceipaddress","useragent","requestparameters","responseelements","requestid","eventid","readonly","eventtype","managementevent","recipientaccountid","eventcategory","tlsdetails","resources","sharedeventid","errorcode","errormessage","sessioncredentialfromconsole","additionaleventdata","vpcendpointid","region","year","month","day"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6YVX7TJ3D"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:47:18Z","ce.amazonaws.com","GetCostForecast","us-east-1","129.205.124.157","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","{""Filter"": {""Not"": {""Or"": [{""Dimensions"": {""Key"": ""RECORD_TYPE"", ""Values"": [""Credit""]}}, {""Dimensions"": {""Key"": ""RECORD_TYPE"", ""Values"": [""Refund""]}}]}}, ""Granularity"": ""MONTHLY"", ""Metric"": ""NET_UNBLENDED_COST"", ""TimePeriod"": {""End"": ""2023-08-01"", ""Start"": ""2023-07-13""}}",,"19cd42f2-093e-4e4a-aab1-5d7540eb84c1","ee7a9a00-b4e8-4371-9124-011c7ce10de5","true","AwsApiCall","true","022318916157","Management","{""tlsVersion"": ""TLSv1.3"", ""cipherSuite"": ""TLS_AES_128_GCM_SHA256"", ""clientProvidedHostHeader"": ""ce.us-east-1.amazonaws.com""}",,,"AccessDenied","IAM user access not activated",,,,"us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6TTBQOY64"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:47:20Z","notifications.amazonaws.com","ListNotificationHubs","us-east-1","129.205.124.157","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",,,"f0f232eb-ff40-4360-a94b-1420de109325","a672dacc-c38f-46d1-b57b-ac3b6e4aea67","true","AwsApiCall","true","022318916157","Management",,,,"AccessDenied",,,,,"us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6YVX7TJ3D"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:47:18Z","ce.amazonaws.com","GetCostAndUsage","us-east-1","129.205.124.157","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","{""Filter"": {""Not"": {""Or"": [{""Dimensions"": {""Key"": ""RECORD_TYPE"", ""Values"": [""Credit""]}}, {""Dimensions"": {""Key"": ""RECORD_TYPE"", ""Values"": [""Refund""]}}]}}, ""Granularity"": ""MONTHLY"", ""GroupBy"": [{""Key"": ""SERVICE"", ""Type"": ""DIMENSION""}], ""Metrics"": [""UnblendedCost""], ""TimePeriod"": {""End"": ""2023-08-01"", ""Start"": ""2023-06-01""}}",,"11fdfbfd-777b-4499-aae1-1e26f8dfeb31","6f89f225-9e50-4573-b0c0-5a3f344070e5","true","AwsApiCall","true","022318916157","Management","{""tlsVersion"": ""TLSv1.3"", ""cipherSuite"": ""TLS_AES_128_GCM_SHA256"", ""clientProvidedHostHeader"": ""ce.us-east-1.amazonaws.com""}",,,"AccessDenied","IAM user access not activated",,,,"us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6TTBQOY64"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:47:21Z","notifications.amazonaws.com","ListNotificationHubs","us-east-1","129.205.124.157","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",,,"94888ff9-7ecb-40ee-865b-72c1158d03e6","730d88d1-4d68-4f29-8cad-364ea65a3141","true","AwsApiCall","true","022318916157","Management",,,,"AccessDenied",,,,,"us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6URNDQARO"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:52:02Z","s3.amazonaws.com","GetAccountPublicAccessBlock","us-east-1","10.199.50.218","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.12.488 Linux/5.10.184-153.731.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.372-b08 java/1.8.0_372 vendor/Oracle_Corporation cfg/retry-mode/standard]","{""Host"": ""022318916157.s3-control.us-east-1.amazonaws.com""}",,"Y1KG677KXVMZWBXS","7ccda44c-fcef-42ec-a1e9-1cda3379ee1b","true","AwsApiCall","true","022318916157","Management","{""tlsVersion"": ""TLSv1.2"", ""cipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""clientProvidedHostHeader"": ""022318916157.s3-control.us-east-1.amazonaws.com""}",,,"NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found",,"{""SignatureVersion"": ""SigV4"", ""CipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""bytesTransferredIn"": 0, ""AuthenticationMethod"": ""AuthHeader"", ""x-amz-id-2"": ""NZUR5AfVa2sc9uvIa3YqUBgOfCn3FXytpyNfClS8L0slMRsZI9tWQBMFFwdLL3MoFeUarlnWgpE="", ""bytesTransferredOut"": 371}","vpce-f40dc59d","us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6URNDQARO"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:52:02Z","s3.amazonaws.com","GetBucketCors","us-east-1","129.205.124.157","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.12.488 Linux/5.4.242-166.350.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.372-b08 java/1.8.0_372 vendor/Oracle_Corporation cfg/retry-mode/standard]","{""bucketName"": ""cloudtraildatabucket-us-east-1-5407312171935018"", ""Host"": ""s3.amazonaws.com"", ""cors"": """"}",,"Y1KJX6T699DK96YY","77ebc80a-c639-4be8-8abb-231622361703","true","AwsApiCall","true","022318916157","Management","{""tlsVersion"": ""TLSv1.2"", ""cipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""clientProvidedHostHeader"": ""s3.amazonaws.com""}","[{""accountId"": ""022318916157"", ""type"": ""AWS::S3::Bucket"", ""ARN"": ""arn:aws:s3:::cloudtraildatabucket-us-east-1-5407312171935018""}]",,"NoSuchCORSConfiguration","The CORS configuration does not exist",,"{""SignatureVersion"": ""SigV4"", ""CipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""bytesTransferredIn"": 0, ""AuthenticationMethod"": ""AuthHeader"", ""x-amz-id-2"": ""Wd5qEISIJiSfp2Xbvb1bTdes5+FJMctZrS1AJ8l6fPBkGmBAD6oPpXsP+RlcGNDZFH8WsZ4bjR0="", ""bytesTransferredOut"": 350}","vpce-f40dc59d","us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6URNDQARO"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:52:29Z","s3.amazonaws.com","GetBucketObjectLockConfiguration","us-east-1","129.205.124.157","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.12.488 Linux/5.10.184-153.731.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.372-b08 java/1.8.0_372 vendor/Oracle_Corporation cfg/retry-mode/standard]","{""bucketName"": ""cloudtraildatabucket-us-east-1-5407312171935018"", ""object-lock"": """", ""Host"": ""s3.amazonaws.com""}",,"3Z8P3ERQN42SV8SX","70910a41-c276-4931-9cd2-5ecc3af97ad2","true","AwsApiCall","true","022318916157","Management","{""tlsVersion"": ""TLSv1.2"", ""cipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""clientProvidedHostHeader"": ""s3.amazonaws.com""}","[{""accountId"": ""022318916157"", ""type"": ""AWS::S3::Bucket"", ""ARN"": ""arn:aws:s3:::cloudtraildatabucket-us-east-1-5407312171935018""}]",,"ObjectLockConfigurationNotFoundError","Object Lock configuration does not exist for this bucket",,"{""SignatureVersion"": ""SigV4"", ""CipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""bytesTransferredIn"": 0, ""AuthenticationMethod"": ""AuthHeader"", ""x-amz-id-2"": ""qQ0GLJEJhT5q/c28owhrZcBK+xRQG5lL6xS5I1rgVrgbGPfjEenb9N2LjpEV14Ze7nIwl9yMKw4="", ""bytesTransferredOut"": 382}","vpce-f40dc59d","us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6TTBQOY64"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:47:20Z","notifications.amazonaws.com","ListNotificationHubs","us-east-1","129.205.124.157","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",,,"6a2ea383-83ad-4ff1-80f2-430fc0bb2003","f340cfc5-c583-4246-aa95-5e27972b6dd2","true","AwsApiCall","true","022318916157","Management",,,,"AccessDenied",,,,,"us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI674CIYHF2"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:49:03Z","resource-explorer-2.amazonaws.com","ListIndexes","us-east-1","129.205.124.157","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","{""Type"": ""AGGREGATOR""}",,"0720772e-79e6-4400-825b-814c28849f2f","9d7e5de5-80ba-410a-b6fc-a8461cc597d8","true","AwsApiCall","true","022318916157","Management",,,,"AccessDenied",,,,,"us-east-1","2023","07","13"
"1.08","{""type"": ""AssumedRole"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS:29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""arn"": ""arn:aws:sts::022318916157:assumed-role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa/29e32d98-34dc-411a-a712-8c6fb0d3e559"", ""accountId"": ""022318916157"", ""accessKeyId"": ""ASIAQKMSPUI6URNDQARO"", ""sessionContext"": {""sessionIssuer"": {""type"": ""Role"", ""principalId"": ""AROAQKMSPUI6Z7Z74VTDS"", ""arn"": ""arn:aws:iam::022318916157:role/AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa"", ""accountId"": ""022318916157"", ""userName"": ""AWSLabsUser-bmXMMA3KBZAgCG8JZBiwVa""}, ""webIdFederationData"": {}, ""attributes"": {""creationDate"": ""2023-07-13T15:47:03Z"", ""mfaAuthenticated"": ""false""}}}","2023-07-13T15:49:21Z","s3.amazonaws.com","GetAccountPublicAccessBlock","us-east-1","129.205.124.157","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.12.488 Linux/5.10.184-153.731.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.372-b08 java/1.8.0_372 vendor/Oracle_Corporation cfg/retry-mode/standard]","{""Host"": ""022318916157.s3-control.us-east-1.amazonaws.com""}",,"NXPBVVVGHMSCPN6X","a49b7daf-15e6-4569-93ec-99d65117a952","true","AwsApiCall","true","022318916157","Management","{""tlsVersion"": ""TLSv1.2"", ""cipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""clientProvidedHostHeader"": ""022318916157.s3-control.us-east-1.amazonaws.com""}",,,"NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found",,"{""SignatureVersion"": ""SigV4"", ""CipherSuite"": ""ECDHE-RSA-AES128-GCM-SHA256"", ""bytesTransferredIn"": 0, ""AuthenticationMethod"": ""AuthHeader"", ""x-amz-id-2"": ""Z0kGAPCEJnDZk31KC96XjrUrpIUQFViwVQmrqUQOpbvIGwMyiUnUX7yr0UVvKmigb/EI82PPv1VHYG2GF6MU6A=="", ""bytesTransferredOut"": 383}","vpce-f40dc59d","us-east-1","2023","07","13"
