CustomerName,Email,First,Last,CustomerID
Caitlin Brooks,caitlin1@adventure-works.com,Caitlin,Brooks,1
Connor Ross,connor0@adventure-works.com,Connor,Ross,2
Melissa Perry,melissa2@adventure-works.com,Melissa,Perry,3
Jasmine West,jasmine37@adventure-works.com,Jasmine,West,4
Jonathon Gutierrez,jonathon8@adventure-works.com,Jonathon,Gutierrez,5
Blake Butler,blake62@adventure-works.com,Blake,Butler,6
Hailey James,hailey17@adventure-works.com,Hailey,James,7
Jennifer Jackson,jennifer40@adventure-works.com,Jennifer,Jackson,8
Willie Shan,willie29@adventure-works.com,Willie,Shan,9
Meghan Gutierrez,meghan10@adventure-works.com,Meghan,Gutierrez,10
